,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
69,emusic.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
70,rarbg.com,0,0,1,5,0,0,0,0,0,0,1,1,1,1,1,1,0
71,litigation-essentials.lexisnexis.com,0,0,1,2,0,0,0,1,0,1,1,1,1,1,1,1,0
72,facebook.com,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
73,docstoc.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
74,catholicnewsagency.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
75,mapsofworld.com,0,0,1,4,0,0,0,0,0,1,1,1,0,0,1,0,0
76,ckuik.com,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0
77,mlive.com,0,0,1,5,0,0,0,0,0,1,1,0,0,0,1,0,0
78,sportschampon.blogspot.com,0,0,1,3,0,0,1,0,1,1,1,1,1,1,1,1,0
79,alibris.com,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
80,absoluteastronomy.com,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1,0
81,jobcentral.com,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
82,dipity.com,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1,0
83,pics.smashits.com,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
84,maplevalley-realestate.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
85,romualdo.com,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
86,pirateparty.ca,0,0,0,2,0,0,0,0,0,1,0,1,1,1,1,1,0
87,animator.ru,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
88,youtube.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
89,youtube.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
90,gomarquette.com,0,0,1,4,0,0,0,0,0,0,1,1,1,0,1,0,0
91,nabilahxp.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
92,youtube.com,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0
93,soundcloud.com,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
94,themeparks.about.com,0,0,1,4,0,0,1,0,0,1,0,0,1,1,1,1,0
95,williamblair.com,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0
96,amazon.com,0,0,1,3,0,0,0,0,0,1,1,1,0,0,1,0,0
97,allencountyhealthdepartment.org,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
98,argusrentals.com,0,0,1,3,0,0,0,0,0,1,0,1,1,1,1,1,0
99,providence.org,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0
