,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
65,ashleycarecenter.com,0,0,0,3,0,0,0,0,0,1,1,1,0,0,1,0,0
66,ministerio-publi.info,0,0,0,3,0,0,0,1,0,1,0,1,0,0,1,0,0
67,eduspec.co.id,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
68,club-liner.de,0,0,1,4,0,0,0,1,0,1,1,1,0,0,1,0,0
69,atousauniversal.com,0,1,1,2,0,0,0,0,0,1,1,1,0,0,1,0,0
70,prtests.ru,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
71,plasticosterrones.com.mx,0,0,0,3,0,0,0,0,0,1,0,1,0,0,1,0,0
72,hedtfohecdo.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
73,fywuw8ar.myutilitydomain.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1,0
74,trustedupdates.net,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,0
75,gurpuritv.com,0,0,1,7,0,0,0,0,0,1,1,1,0,0,1,0,0
76,lmiybsb.click,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
77,ordnancerta.com,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,0,0
78,realcaucel.com.mx,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1,0
79,0babyungebrochene.within-reach-therapy.com,0,0,1,3,0,0,0,1,1,1,1,1,1,1,1,1,0
80,larah.in,0,0,1,5,0,0,0,0,0,1,0,1,0,0,1,0,0
81,kt23fkxnyo.uryetbn.in,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0
82,masssucess.favcc1.com,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0
83,spur.su,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,0,0
84,neimucher.net,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1,0
85,bbt.adv.br,0,0,0,2,0,0,0,0,0,1,1,1,1,1,1,1,0
86,netorgft3310644.sharepoint.com,0,0,1,5,0,0,1,0,0,1,1,1,0,0,1,0,0
87,t-n-d.in,0,0,0,2,0,0,0,1,0,1,1,1,1,1,1,1,0
88,ceciliamartinez.com.mx,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,0
89,ramuism.com,0,1,0,2,0,0,0,0,0,1,1,1,1,0,1,0,0
90,ghsahq-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,0,0,1,0,0
91,toptantriko.net,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,1,0
92,petit-poulet.de,0,0,1,4,0,0,0,1,1,1,1,1,1,1,1,1,0
93,schrickerapts.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
94,motorati.co.nz,0,0,1,6,0,0,0,0,0,1,1,1,0,0,1,0,0
95,fabricadeconcluidores.com.br,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0
96,samdbnrmboard.createsend.com,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0
97,dlbjpwt.goog-upp.pw,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
98,ptkkp.co.id,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,0
99,cafsci.org,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1,0
